Timestamp,Heart Rate,Latitude,Longitude,Altitude,Speed(m/s),Sport Mode
2025-04-14 10:54:24,97,33.40724122913657,-111.9478178214244,353.2106955163181,0.14109164291323772,0
2025-04-14 10:54:25,97,33.407237230865505,-111.94781783076843,352.9381836587563,0.05207277297934135,0
2025-04-14 10:54:26,96,33.40723702004425,-111.94781783126211,353.2468030946329,0.02811808296453284,0
2025-04-14 10:54:27,97,33.40723626947965,-111.94781783301602,353.1496440824121,0.0,0
2025-04-14 10:54:28,98,33.40723626947965,-111.94781783301607,353.1496440824121,0.0,0
2025-04-14 10:54:29,100,33.40723927282351,-111.94781782599647,353.12863729707897,0.10833984636826759,0
2025-04-14 10:54:30,102,33.40723941784055,-111.94781782565752,353.11699878051877,0.0,0
2025-04-14 10:54:31,102,33.40723941784055,-111.94781782565752,353.11699878051877,0.0,0
2025-04-14 10:54:32,102,33.40723655079279,-111.94781783235739,352.76113458909094,0.05855247258031971,0
2025-04-14 10:54:33,101,33.40723669755991,-111.9478178320145,352.8160342266783,0.12429666419350786,0
2025-04-14 10:54:34,100,33.40723556168692,-111.94781783466944,352.85076346900314,0.08930280415369475,0
2025-04-14 10:54:35,98,33.407235016369015,-111.947817835944,352.87062776461244,0.0,0
2025-04-14 10:54:36,97,33.407234885457605,-111.9478178362498,352.81513231247663,0.1282426643942027,0
2025-04-14 10:54:37,95,33.407234709854954,-111.94781783666039,352.8720190525055,0.15717663875647978,0
2025-04-14 10:54:38,95,33.407233859146444,-111.94781783864875,352.8841687189415,0.024287777464400407,0
2025-04-14 10:54:39,95,33.40723319971073,-111.9478178401896,352.7603002442047,0.05065263964758463,0
2025-04-14 10:54:40,97,33.407233008477355,-111.94781784063689,352.8771208822727,0.10036989185800872,0
2025-04-14 10:54:41,99,33.40723245561889,-111.94792262295452,352.8507941234857,0.037958111872264416,0
2025-04-14 10:54:42,100,33.40723466777388,-111.94792281705121,353.0437972750515,0.21982991206067626,0
2025-04-14 10:54:43,101,33.40723463440408,-111.94792436182607,352.9158028084785,0.1373552100330462,0
2025-04-14 10:54:44,102,33.40723409450745,-111.94792390457651,353.0269280867651,0.15337792526768484,0
2025-04-14 10:54:45,101,33.40723383263619,-111.94792444479329,352.9013479249552,0.06065782956231423,0
2025-04-14 10:54:46,101,33.40723667046628,-111.94792364946944,352.8912507686764,0.1790744986569337,0
2025-04-14 10:54:47,101,33.4072459908858,-111.94791416692611,352.8637057552114,0.3243279696519965,0
2025-04-14 10:54:48,101,33.40725727460305,-111.94788713788375,351.41080050263554,1.0813576972538708,0
2025-04-14 10:54:49,102,33.40726578115257,-111.94784149698428,351.2973648365587,2.817732046628781,0
2025-04-14 10:54:50,102,33.40726751818093,-111.94779038002518,351.4004942616448,3.917628604513726,0
2025-04-14 10:54:51,103,33.407266814055696,-111.94773935397895,352.050714308396,4.483894762114895,0
2025-04-14 10:54:52,103,33.40727747554637,-111.94769709021183,351.78329609613866,4.353951748753976,0
2025-04-14 10:54:53,104,33.407287310899285,-111.94767100237284,352.04325953125954,3.3987173343725603,0
2025-04-14 10:54:54,104,33.4072780193369,-111.94766164537204,351.1323577417061,1.957757325131432,0
2025-04-14 10:54:55,106,33.40726346795799,-111.94767035032152,352.5661183530465,0.8446936212176906,0
2025-04-14 10:54:56,108,33.40726265364163,-111.94768235651156,352.5996471690014,0.36610069918974386,0
2025-04-14 10:54:57,112,33.40726828465637,-111.94768651880578,352.75827055145055,0.29635929701725294,0
2025-04-14 10:54:58,116,33.407268825274244,-111.94768941799971,352.86889290902764,0.16676877629720557,0
2025-04-14 10:54:59,118,33.407268442223895,-111.94768918205988,353.0464148269966,0.14487093638954487,0
2025-04-14 10:55:00,120,33.40726899185569,-111.94768825958012,353.17834601178765,0.15270789406772362,0
2025-04-14 10:55:01,120,33.4072711567997,-111.94768829368199,353.16172740608454,0.16270718762236874,0
2025-04-14 10:55:02,120,33.40727012298427,-111.94768816659322,353.0704532340169,0.0,0
2025-04-14 10:55:03,119,33.40727013426201,-111.9476876415137,353.02052091248333,0.058311851332230415,0
2025-04-14 10:55:04,118,33.40727651517052,-111.94768932266683,352.92680430598557,0.331060360662307,0
2025-04-14 10:55:05,117,33.40729919498393,-111.94768204415695,353.0449293870479,1.1871751904483219,0
2025-04-14 10:55:06,116,33.407337430529374,-111.94767253562787,353.06636351905763,2.772043825148783,0
2025-04-14 10:55:07,115,33.40736781784871,-111.94767952832619,353.3368398658931,3.118829540333549,0
2025-04-14 10:55:08,114,33.407403628403216,-111.94770378202449,353.37273543607444,3.8034203522085157,0
2025-04-14 10:55:09,113,33.407441740445734,-111.94772288933503,353.29799930844456,4.298707192230038,0
2025-04-14 10:55:10,111,33.407486196511634,-111.94774486633885,352.9492614874616,4.879354238420053,0
2025-04-14 10:55:11,110,33.40753643467897,-111.94777071839786,352.5462925694883,5.507080682414241,0
2025-04-14 10:55:12,109,33.4075945881677,-111.94777132753336,352.98835925292224,5.886489701956994,0
2025-04-14 10:55:13,109,33.407651562196754,-111.94776707658845,352.7333374591544,6.067552404153669,0
2025-04-14 10:55:14,108,33.40771207909342,-111.94777096897971,352.42936758417636,6.405390406829653,0
2025-04-14 10:55:15,108,33.40777374714984,-111.94776437825986,352.5815614871681,6.606156688406386,0
2025-04-14 10:55:16,107,33.407838606493975,-111.9477608930626,352.43944503739476,6.951780360365269,0
2025-04-14 10:55:17,108,33.407902828140784,-111.94776068653536,352.1894862279296,7.083264005465394,0
2025-04-14 10:55:18,108,33.40796800859356,-111.94776376967287,352.22879252862185,7.1935119479320315,0
2025-04-14 10:55:19,109,33.408034776905,-111.94776141162139,352.1104432307184,7.325544634076074,0
2025-04-14 10:55:20,109,33.408100937351435,-111.94776489566007,352.08949154336005,7.344476881406906,0
2025-04-14 10:55:21,109,33.40816822145291,-111.94776458141405,352.1085614580661,7.416767266737539,0
2025-04-14 10:55:22,111,33.408234640296044,-111.94776312799529,351.9957272019237,7.424673021260394,0
2025-04-14 10:55:23,112,33.4083020726892,-111.94776525190986,352.03649806417525,7.454525537565439,0
2025-04-14 10:55:24,113,33.40836887377928,-111.94776842096655,351.7868618257344,7.432930931587314,0
2025-04-14 10:55:25,113,33.40843414597742,-111.94780302649083,351.86871165037155,7.326142785934198,0
2025-04-14 10:55:26,114,33.40850109099931,-111.94780410572554,351.9591709934175,7.3316898400586785,0
2025-04-14 10:55:27,114,33.40856876173078,-111.94780432649175,352.00880730710924,7.402809247095333,0
2025-04-14 10:55:28,114,33.40863593113712,-111.94780432649155,351.9863656014204,7.385514287919259,0
2025-04-14 10:55:29,114,33.40870240246652,-111.94780432649105,351.90362791344523,7.33802104469697,0
2025-04-14 10:55:30,113,33.408759783316036,-111.94780432648908,351.5917137544602,7.010833992395996,0
2025-04-14 10:55:31,113,33.40878242117832,-111.9477907075983,351.9263494582847,6.084483835918967,0
2025-04-14 10:55:32,115,33.40874170217267,-111.94760087676174,351.5308844484389,5.607092788072051,0
2025-04-14 10:55:33,118,33.408756715016736,-111.94753636612903,351.6014952706173,5.721996795427306,0
2025-04-14 10:55:34,122,33.40874618972286,-111.94746987934145,351.7432484738529,6.085695311957673,0
2025-04-14 10:55:35,125,33.40874772259517,-111.94740366939021,351.8322096420452,6.188921682018725,0
2025-04-14 10:55:36,127,33.40874973653062,-111.94733358277226,351.80250981263816,6.4193570825728195,0
2025-04-14 10:55:37,129,33.40875316305012,-111.94726239833307,351.61684993933886,6.578501743514214,0
2025-04-14 10:55:38,130,33.408740321734406,-111.94719076035821,352.21102965064347,6.667366083261704,0
2025-04-14 10:55:39,130,33.40874007332662,-111.94711696076943,352.06694209668785,6.8036677234699665,0
2025-04-14 10:55:40,131,33.4087433171004,-111.94704459919505,352.2863871427253,6.840920924191744,0
2025-04-14 10:55:41,130,33.408737757353,-111.94697001125894,352.2924478985369,6.945856668417923,0
2025-04-14 10:55:42,130,33.40874083537391,-111.9468949017485,352.2435331484303,6.9795378623802815,0
2025-04-14 10:55:43,129,33.408741152912526,-111.9468208186411,352.3337084557861,6.955436268532547,0
2025-04-14 10:55:44,129,33.40874135723291,-111.94674543687152,352.31789924856275,6.996303550650082,0
2025-04-14 10:55:45,129,33.408742414374856,-111.94666918623226,352.2260142797604,7.059454619978346,0
2025-04-14 10:55:46,129,33.408740122188156,-111.94659427857212,352.152915969491,7.0351708964510316,0
2025-04-14 10:55:47,128,33.40874444826838,-111.94651770274065,352.4279798893258,7.10513746827631,0
2025-04-14 10:55:48,128,33.40874282256796,-111.94644295386543,352.359533268027,7.050623862086498,0
2025-04-14 10:55:49,127,33.40874036719082,-111.9463674957123,352.3889654520899,7.042913133986145,0
2025-04-14 10:55:50,127,33.40874199396507,-111.94629255726466,352.29274469520897,7.019873718545266,0
2025-04-14 10:55:51,127,33.408746061501745,-111.94621801290613,352.1641111029312,6.986392186905143,0
2025-04-14 10:55:52,127,33.40874443885744,-111.94614173488591,352.3467727294192,7.043050283158555,0
2025-04-14 10:55:53,127,33.408745879978134,-111.94606586957029,352.384267937392,7.071203990318516,0
2025-04-14 10:55:54,128,33.40874669523809,-111.9459901920194,352.29062880575657,7.021449493989413,0
2025-04-14 10:55:55,128,33.40874417250112,-111.94591458179885,352.38974654953927,7.056814713470476,0
2025-04-14 10:55:56,128,33.40874117652924,-111.9458391340778,352.30567983631045,7.044244040173046,0
2025-04-14 10:55:57,127,33.4087478568713,-111.9457648952261,352.4629324981943,6.988305979869297,0
2025-04-14 10:55:58,127,33.4087471383568,-111.94569173713674,352.331236156635,6.9038385021464075,0
2025-04-14 10:55:59,127,33.40873738496802,-111.94561704848518,352.2300427714363,6.960184854189268,0
2025-04-14 10:56:00,127,33.40873767165922,-111.9455419549042,352.145362556912,6.98241755224113,0
2025-04-14 10:56:01,129,33.40874351823667,-111.94546661670527,352.2898067208007,6.9968442554767725,0
2025-04-14 10:56:02,130,33.40874353203407,-111.94539302204032,352.50658347364515,6.9262254924107385,0
2025-04-14 10:56:03,131,33.40874292960784,-111.9453171612894,352.5007519321516,7.000640947734168,0
2025-04-14 10:56:04,132,33.408743352810674,-111.94524138367646,352.6295143831521,7.027190618734778,0
2025-04-14 10:56:05,132,33.40874563570621,-111.94516643619974,352.64661023020744,7.002561013053397,0
2025-04-14 10:56:06,132,33.408744808544085,-111.94509233902896,352.8291834583506,6.947464700651302,0
2025-04-14 10:56:07,132,33.40873990197167,-111.94501699229623,352.8142409371212,6.979613096672591,0
2025-04-14 10:56:08,131,33.40874591695931,-111.94494116233912,352.92593927308917,7.027772109300091,0
2025-04-14 10:56:09,131,33.408747479335034,-111.94486765627978,352.88786201830953,6.920601734861376,0
2025-04-14 10:56:10,130,33.408747327327234,-111.94479203804262,352.8351802844554,6.978554402958744,0
2025-04-14 10:56:11,129,33.40874257986097,-111.94471632516368,352.93247964419425,7.0340753397901095,0
2025-04-14 10:56:12,128,33.408741367304025,-111.94464053766984,352.9252553768456,7.057081991525511,0
2025-04-14 10:56:13,128,33.40874004940467,-111.94456353522556,353.00729735568166,7.107141590571902,0
2025-04-14 10:56:14,128,33.40873906094475,-111.94449682259045,352.9742357544601,6.585552970194573,0
2025-04-14 10:56:15,128,33.4087381979743,-111.94443622005127,352.9872769834474,6.053259438521134,0
2025-04-14 10:56:16,128,33.40874404954232,-111.9443805535495,353.19359938334674,5.5746112293038586,0
2025-04-14 10:56:17,128,33.4087608065183,-111.94433607756575,353.1912390291691,4.87663382546583,0
